Etc/UTC,Open,High,Low,Close,Volume
2026-07-31T12:19:00+00:00,28329.532,28336.675,28322.686,28328.219,69520
2026-07-31T12:20:00+00:00,28328.886,28342.043,28326.131,28342.043,71500
2026-07-31T12:21:00+00:00,28342.11,28356.454,28342.11,28354.154,70840
2026-07-31T12:22:00+00:00,28354.432,28355.209,28340.032,28340.175,70180
2026-07-31T12:23:00+00:00,28340.197,28341.908,28322.654,28341.443,73920
2026-07-31T12:24:00+00:00,28341.208,28356.865,28340.709,28356.719,70620
2026-07-31T12:25:00+00:00,28356.921,28364.953,28351.953,28364.41,72380
2026-07-31T12:26:00+00:00,28363.61,28365.899,28357.986,28362.565,67760
2026-07-31T12:27:00+00:00,28362.553,28363.81,28351.187,28352.61,61820
2026-07-31T12:28:00+00:00,28352.542,28371.289,28352.542,28370.353,63580
2026-07-31T12:29:00+00:00,28370.12,28378.098,28368.643,28369.976,55000
2026-07-31T12:30:00+00:00,28370.409,28372.719,28329.942,28369.664,75460
2026-07-31T12:31:00+00:00,28370.019,28375.008,28355.897,28359.089,77000
2026-07-31T12:32:00+00:00,28359.342,28359.342,28345.31,28350.375,74360
2026-07-31T12:33:00+00:00,28350.02,28353.92,28328.454,28329.909,77000
2026-07-31T12:34:00+00:00,28329.665,28339.187,28326.932,28333.998,70620
2026-07-31T12:35:00+00:00,28334.42,28343.508,28324.187,28341.653,76120
2026-07-31T12:36:00+00:00,28341.32,28346.389,28327.119,28333.008,73040
2026-07-31T12:37:00+00:00,28332.708,28339.189,28329.52,28333.464,72820
2026-07-31T12:38:00+00:00,28334.589,28340.376,28323.453,28334.199,74360
2026-07-31T12:39:00+00:00,28334.176,28335.197,28320.11,28325.11,72600
2026-07-31T12:40:00+00:00,28325.131,28328.289,28320.608,28325.697,76120
2026-07-31T12:41:00+00:00,28326.099,28340.208,28317.586,28331.42,76340
2026-07-31T12:42:00+00:00,28331.389,28333.098,28305.676,28309.497,75460
2026-07-31T12:43:00+00:00,28310.175,28327.443,28307.165,28326.543,71940
2026-07-31T12:44:00+00:00,28326.843,28328.054,28321.364,28326.119,69520
2026-07-31T12:45:00+00:00,28325.398,28331.821,28312.187,28324.087,75460
2026-07-31T12:46:00+00:00,28323.486,28329.909,28310.676,28323.908,72820
2026-07-31T12:47:00+00:00,28323.954,28329.364,28316.543,28322.121,69520
2026-07-31T12:48:00+00:00,28322.043,28326.386,28318.143,28318.609,67980
2026-07-31T12:49:00+00:00,28318.421,28325.208,28315.943,28324.865,69960
2026-07-31T12:50:00+00:00,28324.708,28328.11,28315.365,28325.019,69960
2026-07-31T12:51:00+00:00,28324.508,28352.799,28324.189,28350.61,72820
2026-07-31T12:52:00+00:00,28350.919,28358.942,28350.043,28357.932,73040
2026-07-31T12:53:00+00:00,28358.175,28361.375,28353.554,28360.164,69300
2026-07-31T12:54:00+00:00,28360.542,28360.964,28352.132,28358.909,66000
2026-07-31T12:55:00+00:00,28358.51,28363.054,28353.875,28354.564,67980
2026-07-31T12:56:00+00:00,28354.508,28359.908,28350.065,28355.008,71720
2026-07-31T12:57:00+00:00,28354.91,28357.789,28338.61,28341.208,69300
2026-07-31T12:58:00+00:00,28341.32,28344.531,28336.408,28342.419,75240
2026-07-31T12:59:00+00:00,28342.609,28344.475,28336.087,28340.82,70620
2026-07-31T13:00:00+00:00,28341.187,28347.021,28330.532,28332.887,78760
2026-07-31T13:01:00+00:00,28332.865,28346.143,28329.486,28339.086,77660
2026-07-31T13:02:00+00:00,28339.289,28359.699,28336.864,28358.898,77440
2026-07-31T13:03:00+00:00,28359.154,28368.61,28358.908,28364.997,77660
2026-07-31T13:04:00+00:00,28364.708,28369.419,28362.019,28362.019,70180
2026-07-31T13:05:00+00:00,28362.098,28373.354,28358.886,28372.431,71500
2026-07-31T13:06:00+00:00,28372.208,28375.931,28366.053,28366.698,73700
